Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
919005-16-6,"2,2,3,5,5,6,6,8,8,10,10,12,12,12-Tetradecafluoro-4,7,9,11-tetraoxadodecanoic acid",FALSE, ,0, 
919005-17-7,"2,2,3,5,5,6,6,8,8,10,10,12,12,14,14,14-Hexadecafluoro-4,7,9,11,13-pentaoxatetradecanoic acid",FALSE, ,0, 
919005-18-8,"2,3,3-Trifluoro-3-(trifluoromethoxy)propanoic acid",FALSE, ,0, 
919005-19-9,"2,3,3-Trifluoro-3-(heptafluoropropoxy)propanoic acid",FALSE, ,0, 
919005-20-2,"2,3,3-Trifluoro-3-[perfluoro-3-(methoxy)propoxy]propanoic acid",FALSE, ,0, 
919005-21-3,"3-[2-[Difluoro(trifluoromethoxy)methoxy]-1,1,2,2-tetrafluoroethoxy]-2,3,3-trifluoropropanoic
acid",FALSE, ,0, 
919005-22-4,"2,3,3,5,5,6,6,8,8,10,10,12,12,12-Tetradecafluoro-4,7,9,11-tetraoxadodecanoic acid",FALSE, ,0, 
919005-23-5,"2,3,3,5,5,6,6,8,8,10,10,12,12,14,14,14-Hexadecafluoro-4,7,9,11,13-pentaoxatetradecanoic acid",FALSE, ,0, 
919005-24-6,"2,2,3,4,4-Pentafluoro-4-(trifluoromethoxy)butanoic acid",FALSE, ,0, 
919005-25-7,"2,2,3,4,4-Pentafluoro-4-(pentafluoroethoxy)butanoic acid",FALSE, ,0, 
919005-26-8,"2,2,3,4,4-Pentafluoro-4-(1,1,2,2,3,3,3-heptafluoropropoxy)butanoic acid",FALSE, ,0, 
919005-27-9,"2,2,3,4,4-Pentafluoro-4-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]butanoic acid",FALSE, ,0, 
919005-28-0,"4-[2-[Difluoro(trifluoromethoxy)methoxy]-1,1,2,2-tetrafluoroethoxy]-2,2,3,4,4-
pentafluorobutanoic acid",FALSE, ,0, 
919005-29-1,"2,2,3,4,4,6,6,7,7,9,9,11,11,13,13,13-Hexadecafluoro-5,8,10,12-tetraoxatridecanoic acid",FALSE, ,0, 
919005-30-4,"2,2,3,4,4,6,6,7,7,9,9,11,11,13,13,15,15,15-Octadecafluoro-5,8,10,12,14-pentaoxapentadecanoic
acid",FALSE, ,0, 
919005-32-6,"2-[1,1,2-Trifluoro-2-[1,1,2,2,3,3-hexafluoro-3-(trifluoromethoxy)propoxy]ethoxy]acetic acid",FALSE, ,0, 
919005-33-7,"2-[1,1,2-Trifluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)ethoxy]acetic acid",FALSE, ,0, 
919005-34-8,"3-[1,1,2-Trifluoro-2-(1,1,2,2,3,3,3-heptafluoropropoxy)ethoxy]propanoic acid",FALSE, ,0, 
919005-35-9,"2-[1,1,2-Trifluoro-2-[1,1,2,2-tetrafluoro-2-(1,1,2,2,3,3,3-
heptafluoropropoxy)ethoxy]ethoxy]acetic acid",FALSE, ,0, 
919005-36-0,"2-[1,1,2-Trifluoro-2-[1,1,2,2,3,3-hexafluoro-3-(1,1,2,2,3,3,3-
heptafluoropropoxy)propoxy]ethoxy]acetic acid",FALSE, ,0, 
919005-37-1,"2-[1,1,2,3,3-Pentafluoro-3-(1,1,2,2,3,3,3-heptafluoropropoxy)propoxy]acetic acid",FALSE, ,0, 
919005-38-2,"(1,1,2,3,3,3-Hexafluoropropoxy)acetic acid",FALSE, ,0, 
919005-39-3,"[(1,1,2,3,3,4,4,5,5,6,6,6-Dodecafluorohexyl)oxy]acetic acid",FALSE, ,0, 
919005-40-6,"[1,1,2,2-Tetrafluoro-2-(trifluoromethoxy)ethoxy]acetic acid",FALSE, ,0, 
919005-41-7,2-[Perfluoro-[3-(methoxy)propoxy]ethoxy]acetic acid,FALSE, ,0, 
919005-42-8,2-[Perfluoro(propoxy)ethoxy]acetic acid,FALSE, ,0, 
919005-43-9,3-[Perfluoro-2-(propoxy)ethoxy]propanoic acid,FALSE, ,0, 
919005-44-0,2-[Perfluoro-2-(propoxy)ethoxyethoxy]acetic acid,FALSE, ,0, 
919005-45-1,2-[Perfluoro-2-[3-(propoxy)propoxy]ethoxy]acetic acid,FALSE, ,0, 
919005-46-2,2-[Perfluoro-3-(propoxy)propoxy]acetic acid,FALSE, ,0, 
919005-47-3,(Nonafluorobutoxy)acetic acid,FALSE, ,0, 
919005-48-4,3-(Nonafluorobutoxy)propanoic acid,FALSE, ,0, 
919005-49-5,(Heptafluoropropoxy)acetic acid,FALSE, ,0, 
919005-50-8,Difluoro(perfluoropropoxy)acetic acid,FALSE, ,0, 
919005-51-9,Perfluoro-2-[3-(methoxy)propoxy]acetic acid,FALSE, ,0, 
919005-52-0,"2,2,3,3,4,4-Hexafluoro-4-(1,2,2,2-tetrafluoroethoxy)butanoic acid",FALSE, ,0, 
919005-53-1,"6-(1,2,2,2-Tetrafluoroethoxy)perfluorohexanoic acid",FALSE, ,0, 
919005-54-2,Perfluoroethoxypropyl carboxylic acid,FALSE, ,0, 
919005-55-3,Perfluoro-6-(ethoxy)hexanoic acid,FALSE, ,0, 
919079-94-0,"4'-Butyl-3-(6,6,7,7,8,8,9,9,9-nonafluorononyl)-2,2'-bithiophene",FALSE, ,0, 
919079-95-1,"3-(6,6,7,7,8,8,9,9,9-Nonafluorononyl)-4'-octyl-2,2'-bithiophene",FALSE, ,0, 
919079-96-2,"4'-Dodecyl-3-(6,6,7,7,8,8,9,9,9-nonafluorononyl)-2,2'-bithiophene",FALSE, ,0, 
91913-68-7,1-[(Pentadecafluoroheptyl)oxy]octane,FALSE, ,0, 
919289-98-8,"4-(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)aniline",FALSE, ,0, 
91935-83-0,"Lithium, (pentafluoroethyl)-",FALSE, ,0, 
91935-84-1,"3,3,4,4,4-Pentafluoro-2-hydroxy-2-(2-methylphenyl)butanoic acid",FALSE, ,0, 
919477-86-4,"2-(3-Nitro-1H-1,2,4-triazol-1-yl)-N-(2,2,3,3,3-pentafluoropropyl)acetamide",FALSE, ,0, 
