Id,Cas,Name,Downloaded,Found_by,No_of_downloads, Done_by
37672,67905-95-7,"Formaldehyde, polymer with 4-(1,1-dimethylethyl)phenol and 4-nonylphenol",FALSE, ,0, 
37673,67905-96-8,"Formaldehyde, polymer with N1-(2-aminoethyl)-1,2-ethanediamine and 4-nonylphenol",FALSE, ,0, 
37681,nan,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-[methylenebis[4,6-bis(1,1-dimethylpropyl)-2,1-phenylene]]bis[.omega.-hydroxy-",FALSE, ,0, 
37682,nan,"Poly(oxy-1,2-ethanediyl), .alpha.-[2,4-bis(1,1-dimethylpropyl)phenyl]-.omega.-hydroxy-",FALSE, ,0, 
37694,67906-22-3,"Cobaltate(2-), bis[2-[2-[5-(aminosulfonyl)-2-(hydroxy-.kappa.O)phenyl]diazenyl-.kappa.N1]-3-(oxo-.kappa.O)-N-phenylbutanamidato(2-)]-, lithium (1:2)",FALSE, ,0, 
37696,67906-24-5,"1,3-Benzenedicarboxylic acid, polymer with hexanedioic acid, 1,6-hexanediol and 2-(hydroxymethyl)-2-methyl-1,3-propanediol",FALSE, ,0, 
37703,67906-31-4,"1,4-Benzenedicarboxylic acid, 2-[2-[2-[(2-methoxyphenyl)amino]-2-oxo-1-(3,4,5,6-tetrahydro-4,6-dioxo-1,3,5-triazin-2-yl)ethyl]diazenyl]-, 1,4-dimethyl ester",FALSE, ,0, 
37705,67906-33-6,"1,4-Benzenedisulfonic acid, 2,2'-[1,2-ethenediylbis[(3-sulfo-4,1-phenylene)imino[6-[(3-amino-3-oxopropyl)(2-hydroxyethyl)amino]-1,3,5-triazine-4,2-diyl]imino]]bis-, sodium salt (1:6)",FALSE, ,0, 
37714,67906-42-7,"1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-, ammonium salt (1:1)",FALSE, ,0, 
37739,67906-68-7,"Hexanedioic acid, polymer with ethenylbenzene, 2,5-furandione, 1,3-isobenzofurandione, 2,2'-oxybis[ethanol] and 1,2-propanediol",FALSE, ,0, 
37753,67906-82-5,"1,4-Benzenedicarboxylic acid, polymer with 1,2-ethanediol, formaldehyde, methylphenol and 1,3,5-tris(2-hydroxyethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",FALSE, ,0, 
37757,67906-86-9,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymer with butyl 2-propenoate, ethenylbenzene and 2-hydroxyethyl 2-propenoate",FALSE, ,0, 
37759,67906-88-1,"1,3-Benzenedicarboxylic acid, polymer with 1,4-butanediol, 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, 2,2-dimethyl-1,3-propanediol and hexanedioic acid",FALSE, ,0, 
37762,67906-91-6,"2-Butenedioic acid (2Z)-, 1-(2-methylpropyl) ester, polymer with ethenyl acetate, ethyl 2-propenoate and methyl 2-propenoate",FALSE, ,0, 
37763,67906-92-7,"2-Butenedioic acid (2Z)-, 1-(2-methylpropyl) ester, polymer with ethenyl acetate, ethyl 2-propenoate and methyl 2-propenoate, sodium salt",FALSE, ,0, 
37765,67906-95-0,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate and 2-propenoic acid, sodium salt",FALSE, ,0, 
37768,67906-98-3,"2-Propenoic acid, 1,1'-(1,6-hexanediyl) ester, polymer with 2-aminoethanol",TRUE, CAS,1, Scout
37771,nan,"Ethanaminium, N,N,N-trimethyl-2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]-, chloride (1:1), polymer with ethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate",FALSE, ,0, 
37786,67907-27-1,"1,3-Pentanediol, 2,2,4-trimethyl-, polymer with 1,3-diisocyanatomethylbenzene",FALSE, ,0, 
37797,67920-93-8,"7H-Benzimidazo[2,1-a]benz[de]isoquinolin-7-one, methyl-",FALSE, ,0, 
37798,67920-94-9,"Bicyclo[2.2.2]oct-5-ene-2-carboxaldehyde, 4-methyl-1-(1-methylethyl)-",FALSE, ,0, 
37799,67922-55-8,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-hydroxy-, octadecyl ether",FALSE, ,0, 
37801,67922-57-0,"Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, phosphate, magnesium salt",FALSE, ,0, 
37803,67922-59-2,"Oxirane, 2-ethyl-, polymer with oxirane, monodecyl ether",FALSE, ,0, 
37809,67922-66-1,"Soybean oil, polymer with benzoic acid, pentaerythritol and phthalic anhydride",FALSE, ,0, 
37810,67922-67-2,"Castor oil, dehydrated, polymer with benzoic acid, pentaerythritol, phthalic anhydride and tung oil",FALSE, ,0, 
37815,67922-72-9,"Castor oil, polymer with ethylene glycol, glycerol and phthalic anhydride",FALSE, ,0, 
37818,67922-75-2,"Coconut oil, polymer with ethylene glycol and phthalic anhydride",FALSE, ,0, 
37819,67922-76-3,"Fatty acids, soya, polymers with benzoic acid, pentaerythritol and phthalic anhydride",FALSE, ,0, 
37827,67922-84-3,"Fatty acids, tall-oil, polymers with glycerol, isophthalic acid, pentaerythritol and soybean oil",FALSE, ,0, 
37829,67922-86-5,"Fatty acids, tall-oil, polymers with glycerol, pentaerythritol, phthalic anhydride and vinyltoluene",FALSE, ,0, 
37832,67922-91-2,"Fatty acids, tall-oil, polymers with phthalic anhydride, polypropylene glycol and trimethylolpropane",FALSE, ,0, 
